qId,qTextArr,qSpan,qText,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts
Q0,"['The Signora had no business to do it,', 'no business\nat all. She promised us south rooms with a view close together, instead\nof which here are north rooms, looking into a courtyard, and a long way\napart. Oh, Lucy!']","[[39, 76], [99, 271]]","The Signora had no business to do it, no business
at all. She promised us south rooms with a view close together, instead
of which here are north rooms, looking into a courtyard, and a long way
apart. Oh, Lucy!",Miss Bartlett,['Lucy'],Explicit,said Miss Bartlett,"[['The Signora'], ['She', 'us', 'Lucy']]","[[[39, 50]], [[119, 122], [132, 134], [266, 270]]]","[[['Signora Bertolini']], [['Signora Bertolini'], ['Miss Bartlett', 'Lucy'], ['Lucy']]]"
Q1,"['And a Cockney, besides!', 'It might be London.']","[[275, 298], [378, 397]]","And a Cockney, besides! It might be London.",Lucy,['Miss Bartlett'],Explicit,said Lucy,"[[], []]","[[], []]","[[], []]"
Q2,"[""Charlotte, don't you feel,\ntoo, that we might be in London? I can hardly believe that all kinds of\nother things are just outside. I suppose it is one's being so tired.""]","[[809, 976]]","Charlotte, don't you feel,
too, that we might be in London? I can hardly believe that all kinds of
other things are just outside. I suppose it is one's being so tired.",Lucy,['Miss Bartlett'],Implicit,,"[['Charlotte', 'you', 'we']]","[[[809, 818], [826, 829], [846, 848]]]","[[['Miss Bartlett'], ['Miss Bartlett'], ['Miss Bartlett', 'Lucy']]]"
Q3,"['This meat has surely been used for soup,']","[[980, 1020]]","This meat has surely been used for soup,",Miss Bartlett,['Lucy'],Explicit,said Miss Bartlett,[[]],[[]],[[]]
Q4,"['I want so to see the Arno. The rooms the Signora promised us in her\nletter would have looked over the Arno. The Signora had no business to\ndo it at all. Oh, it is a shame!']","[[1066, 1237]]","I want so to see the Arno. The rooms the Signora promised us in her
letter would have looked over the Arno. The Signora had no business to
do it at all. Oh, it is a shame!",Lucy,['Miss Bartlett'],Implicit,,"[['the Signora', 'us', 'her', 'The Signora']]","[[[1103, 1114], [1124, 1126], [1130, 1133], [1174, 1185]]]","[[['Signora Bertolini'], ['Miss Bartlett', 'Lucy'], ['Signora Bertolini'], ['Signora Bertolini']]]"
Q5,"['Any nook does for me,', ""but it does seem hard\nthat you shouldn't have a view.""]","[[1241, 1262], [1290, 1343]]","Any nook does for me, but it does seem hard
that you shouldn't have a view.",Miss Bartlett,['Lucy'],Explicit,Miss Bartlett continued,"[[], ['you']]","[[], [[1317, 1320]]]","[[], [['Lucy']]]"
Q6,"[""Charlotte, you mustn't spoil me:\nof course, you must look over the Arno, too. I meant that. The first\nvacant room in the front--""]","[[1384, 1512]]","Charlotte, you mustn't spoil me:
of course, you must look over the Arno, too. I meant that. The first
vacant room in the front--",Lucy,['Miss Bartlett'],Implicit,,"[['Charlotte', 'you', 'you']]","[[[1384, 1393], [1395, 1398], [1428, 1431]]]","[[['Miss Bartlett'], ['Miss Bartlett'], ['Miss Bartlett']]]"
Q7,"['You must have it,']","[[1515, 1532]]","You must have it,",Miss Bartlett,['Lucy'],Explicit,said Miss Bartlett,[['You']],"[[[1515, 1518]]]",[[['Lucy']]]
Q8,"['No, no. You must have it.']","[[1683, 1708]]","No, no. You must have it.",Lucy,['Miss Bartlett'],Implicit,,[['You']],"[[[1691, 1694]]]",[[['Miss Bartlett']]]
Q9,"['I insist on it. Your mother would never forgive me, Lucy.']","[[1712, 1769]]","I insist on it. Your mother would never forgive me, Lucy.",Miss Bartlett,['Lucy'],Implicit,,[['Lucy']],"[[[1764, 1768]]]",[[['Lucy']]]
Q10,['She would never forgive me.'],"[[1773, 1800]]",She would never forgive me.,Lucy,['Miss Bartlett'],Implicit,,[[]],[[]],[[]]
Q11,"['I have a view, I have a view.']","[[2157, 2186]]","I have a view, I have a view.",Mr. Emerson,"['Miss Bartlett', 'Lucy']",Anaphoric,He said,[[]],[[]],[[]]
Q12,"['A view? Oh, a view! How delightful a view is!']","[[2892, 2937]]","A view? Oh, a view! How delightful a view is!",Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']",Anaphoric,she assumed a dazed expression when he spoke to her and then said,[[]],[[]],[[]]
Q13,"['This is my son,', ""his name's George. He has a view\ntoo.""]","[[2941, 2956], [2977, 3014]]","This is my son, his name's George. He has a view
too.",Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']",Anaphoric,said the old man,"[[' my son'], ['his', 'George', 'He']]","[[[2948, 2955]], [[2977, 2980], [2988, 2994], [2996, 2998]]]","[[['George Emerson']], [['George Emerson'], ['George Emerson'], ['George Emerson']]]"
Q14,"['Ah,']","[[3018, 3021]]","Ah,",Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']",Explicit,said Miss Bartlett,[[]],[[]],[[]]
Q15,"['What I mean,', ""is that you can have our rooms, and we'll\nhave yours. We'll change.""]","[[3086, 3098], [3115, 3182]]","What I mean, is that you can have our rooms, and we'll
have yours. We'll change.",Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']",Anaphoric,he continued,"[[], ['you', 'we', 'We']]","[[], [[3123, 3126], [3151, 3153], [3169, 3171]]]","[[], [['Miss Bartlett', 'Lucy'], ['Mr. Emerson', 'George Emerson'], ['Mr. Emerson', 'George Emerson']]]"
Q16,['Thank you very much indeed; that is out of the\nquestion.'],"[[3346, 3402]]","Thank you very much indeed; that is out of the
question.",Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']",Explicit,Miss Bartlett in reply opened her mouth as little as possible and said,[['you']],"[[[3352, 3355]]]",[[['Mr. Emerson']]]
Q17,['Why?'],"[[3406, 3410]]",Why?,Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']",Anaphoric,said the old man,[[]],[[]],[[]]
Q18,"['Because it is quite out of the question, thank you.']","[[3462, 3513]]","Because it is quite out of the question, thank you.",Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']",Implicit,,[['you']],"[[[3509, 3512]]]",[[['Mr. Emerson']]]
Q19,"[""You see, we don't like to take--""]","[[3517, 3549]]","You see, we don't like to take--",Lucy,"['George Emerson', 'Mr. Emerson', 'Miss Bartlett']",Explicit,began Lucy,"[['You', 'we']]","[[[3517, 3520], [3526, 3528]]]","[[['Mr. Emerson'], ['Miss Bartlett', 'Lucy']]]"
Q20,"['But why?', ""Women like looking at a view; men don't.""]","[[3597, 3605], [3622, 3662]]",But why? Women like looking at a view; men don't.,Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']",Anaphoric,he persisted,"[[], []]","[[], []]","[[], []]"
Q21,"['George, persuade them!']","[[3748, 3770]]","George, persuade them!",Mr. Emerson,"['Lucy', 'George Emerson', 'Miss Bartlett']",Anaphoric,he thumped with his fists like a naughty child and turned to his son saying,"[['George', 'them']]","[[[3748, 3754], [3765, 3769]]]","[[['George Emerson'], ['Miss Bartlett', 'Lucy']]]"
Q22,"[""It's so obvious they should have the rooms,"", ""There's\nnothing else to say.""]","[[3774, 3817], [3834, 3862]]","It's so obvious they should have the rooms, There's
nothing else to say.",George Emerson,"['Lucy', 'Mr. Emerson', 'Miss Bartlett']",Anaphoric,said the son,"[['they'], []]","[[[3790, 3794]], []]","[[['Miss Bartlett', 'Lucy']], []]"
Q23,"['Eat your dinner, dear,']","[[4870, 4892]]","Eat your dinner, dear,",Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']",Anaphoric,she said to Lucy,[['dear']],"[[[4887, 4891]]]",[[['Lucy']]]
Q24,"['Eat your dinner, dear. This pension is a failure. To-morrow we will\nmake a change.']","[[5037, 5119]]","Eat your dinner, dear. This pension is a failure. To-morrow we will
make a change.",Miss Bartlett,"['Lucy', 'George Emerson', 'Mr. Emerson']",Implicit,,"[['dear', 'we']]","[[[5054, 5058], [5097, 5099]]]","[[['Lucy'], ['Miss Bartlett', 'Lucy']]]"
