qId,qTextArr,qSpan,qText,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts
Q0,"['The darling!', ""She doesn't even guess what\nit's all about.""]","[[6693, 6705], [6807, 6850]]","The darling! She doesn't even guess what
it's all about.",Newland Archer,[],Explicit,thought Newland Archer,"[['The darling'], ['She']]","[[[6693, 6704]], [[6807, 6810]]]","[[['May Wellend']], [['May Wellend']]]"
Q1,"[""We'll\nread Faust together ... by the Italian lakes ...""]","[[7036, 7090]]","We'll
read Faust together ... by the Italian lakes ...",Newland Archer,[],Anaphoric,he thought,[['We']],"[[[7036, 7038]]]","[[['May Wellend', 'Newland Archer']]]"
Q2,['Well--upon my soul!'],"[[9418, 9437]]",Well--upon my soul!,Lawrence Lefferts,"['Newland Archer', 'Mr. Sillerton Jackson']",Explicit,exclaimed Lawrence Lefferts,[[]],[[]],[[]]
Q3,['My God!'],"[[10418, 10425]]",My God!,Lawrence Lefferts,"['Newland Archer', 'Mr. Sillerton Jackson']",Anaphoric,he said,[[]],[[]],[[]]
Q4,"[""I didn't think the Mingotts would have tried\nit on.""]","[[14069, 14120]]","I didn't think the Mingotts would have tried
it on.",Mr. Sillerton Jackson,['Lawrence Lefferts'],Anaphoric,he gave his moustache a thoughtful twist and said,[[]],[[]],[[]]
Q5,"[""What's the use of\ntwo good cooks in one family, now that I've married the girls and can't\neat sauces?""]","[[19377, 19478]]","What's the use of
two good cooks in one family, now that I've married the girls and can't
eat sauces?",Mrs. Manson Mingott,['_unknowable'],Anaphoric,she used to say,[[]],[[]],[[]]
Q6,"['After all,', 'after\nall, just WHAT happened?']","[[20709, 20719], [20836, 20866]]","After all, after
all, just WHAT happened?",Young Thorley,['_unknowable'],Anaphoric,he heard one of the younger men begin,"[[], []]","[[], []]","[[], []]"
Q7,"[""He's an awful brute, isn't he?""]","[[20923, 20953]]","He's an awful brute, isn't he?",Young Thorley,['_unknowable'],Explicit,continued the young enquirer a candid Thorley,"[['He', 'he']]","[[[20923, 20925], [20950, 20952]]]","[[['Ellen Olenska'], ['Ellen Olenska']]]"
Q8,"['The very worst; I knew him at Nice,', ""A half-paralysed white sneering fellow--rather handsome\nhead, but eyes with a lot of lashes.  Well, I'll tell you the sort:\nwhen he wasn't with women he was collecting china.  Paying any price\nfor both, I understand.""]","[[21076, 21111], [21154, 21370]]","The very worst; I knew him at Nice, A half-paralysed white sneering fellow--rather handsome
head, but eyes with a lot of lashes.  Well, I'll tell you the sort:
when he wasn't with women he was collecting china.  Paying any price
for both, I understand.",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Explicit,said Lawrence Lefferts,"[['him'], ['you', 'he', 'he']]","[[[21099, 21102]], [[21264, 21267], [21283, 21285], [21304, 21306]]]","[[['Count Olenski']], [['Young Thorley'], ['Count Olenski'], ['Count Olenski']]]"
Q9,"['Well,\nthen----?']","[[21431, 21446]]","Well,
then----?",Young Thorley,"['Lawrence Lefferts', 'Mr. Sillerton Jackson']",Anaphoric,the young champion said,[[]],[[]],[[]]
Q10,"['Well, then; she bolted with his secretary.']","[[21450, 21492]]","Well, then; she bolted with his secretary.",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Implicit,,"[['she', 'his']]","[[[21462, 21465], [21478, 21481]]]","[[['Ellen Olenska'], ['Count Olenski']]]"
Q11,"['Oh, I see.']","[[21496, 21506]]","Oh, I see.",Young Thorley,"['Lawrence Lefferts', 'Mr. Sillerton Jackson']",Implicit,,[[]],[[]],[[]]
Q12,"[""It didn't last long, though: I heard of her a few months later living\nalone in Venice.  I believe Lovell Mingott went out to get her.  He\nsaid she was desperately unhappy.  That's all right--but this parading\nher at the Opera's another thing.""]","[[21537, 21779]]","It didn't last long, though: I heard of her a few months later living
alone in Venice.  I believe Lovell Mingott went out to get her.  He
said she was desperately unhappy.  That's all right--but this parading
her at the Opera's another thing.",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Implicit,,"[['her', 'Lovell Mingott', 'her', 'He', 'she', 'her']]","[[[21577, 21580], [21635, 21649], [21666, 21669], [21672, 21674], [21680, 21683], [21746, 21749]]]","[[['Ellen Olenska'], ['Mrs. Lovell Mingott'], ['Ellen Olenska'], ['Count Olenski'], ['Ellen Olenska'], ['Ellen Olenska']]]"
Q13,"['Perhaps,', ""she's too unhappy to be left at\nhome.""]","[[21783, 21791], [21818, 21855]]","Perhaps, she's too unhappy to be left at
home.",Young Thorley,"['Lawrence Lefferts', 'Mr. Sillerton Jackson']",Explicit,young Thorley hazarded,"[[], ['she']]","[[], [[21818, 21821]]]","[[], [['Ellen Olenska']]]"
Q14,"[""Oh, that's part of the campaign: Granny's orders, no doubt,"", 'When the old lady does a thing she does it thoroughly.']","[[22148, 22207], [22229, 22283]]","Oh, that's part of the campaign: Granny's orders, no doubt, When the old lady does a thing she does it thoroughly.",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Explicit,Lefferts laughed,"[[""Granny's""], ['the old lady', 'she']]","[[[22181, 22189]], [[22234, 22246], [22260, 22263]]]","[[['Mrs. Manson Mingott']], [['Mrs. Manson Mingott'], ['Old Mrs. Mingott']]]"
Q15,"[""I hope you've told Madame Olenska\nthat we're engaged?  I want everybody to know--I want you to let me\nannounce it this evening at the ball.""]","[[23814, 23953]]","I hope you've told Madame Olenska
that we're engaged?  I want everybody to know--I want you to let me
announce it this evening at the ball.",Newland Archer,['Miss Welland'],Anaphoric,he sat down beside his betrothed and said,[['we']],"[[[23853, 23855]]]","[[['Miss Welland', 'Newland Archer']]]"
Q16,"['If you can persuade Mamma,', 'but why should\nwe change what is already settled?']","[[24042, 24068], [24081, 24130]]","If you can persuade Mamma, but why should
we change what is already settled?",Miss Welland,['Newland Archer'],Anaphoric,she said,"[['you', 'Mamma'], ['we']]","[[[24045, 24048], [24062, 24067]], [[24096, 24098]]]","[[['Newland Archer'], ['Mrs. Augusta Welland']], [['Miss Welland', 'Newland Archer']]]"
Q17,['Tell my cousin yourself: I give you leave.  She says she used to play\nwith you when you were children.'],"[[24233, 24335]]","Tell my cousin yourself: I give you leave.  She says she used to play
with you when you were children.",Miss Welland,['Newland Archer'],Anaphoric,she added,"[['my cousin', 'yourself', 'you', 'She', 'she', 'you', 'you']]","[[[24238, 24247], [24248, 24256], [24265, 24268], [24277, 24280], [24286, 24289], [24308, 24311], [24317, 24320]]]","[[['Ellen Olenska'], ['Newland Archer'], ['Newland Archer'], ['Ellen Olenska'], ['Ellen Olenska'], ['Newland Archer'], ['Newland Archer']]]"
Q18,"[""We DID use to play together, didn't we?"", 'You were a horrid boy, and kissed me once behind a door;\nbut it was your cousin Vandie Newland, who never looked at me, that I\nwas in love with.']","[[24552, 24591], [24637, 24781]]","We DID use to play together, didn't we? You were a horrid boy, and kissed me once behind a door;
but it was your cousin Vandie Newland, who never looked at me, that I
was in love with.",Ellen Olenska,['Newland Archer'],Anaphoric,she asked,"[['We', 'we'], ['You']]","[[[24552, 24554], [24588, 24590]], [[24637, 24640]]]","[[['Newland Archer'], ['Newland Archer']], [['Newland Archer']]]"
Q19,"['Ah, how this brings it all back to me--I see everybody here in\nknickerbockers and pantalettes,']","[[24833, 24927]]","Ah, how this brings it all back to me--I see everybody here in
knickerbockers and pantalettes,",Ellen Olenska,['Newland Archer'],Anaphoric,she said,[[]],[[]],[[]]
Q20,"['Yes, you have been away a very long time.']","[[25302, 25343]]","Yes, you have been away a very long time.",Newland Archer,['Ellen Olenska'],Anaphoric,he answered,[[]],[[]],[[]]
Q21,"['Oh, centuries and centuries; so long,', ""that I'm sure I'm\ndead and buried, and this dear old place is heaven;""]","[[25347, 25384], [25397, 25466]]","Oh, centuries and centuries; so long, that I'm sure I'm
dead and buried, and this dear old place is heaven;",Ellen Olenska,['Newland Archer'],Anaphoric,she said,"[[], []]","[[], []]","[[], []]"
