qId,qTextArr,qSpan,qText,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts
Q0,['Will you give me a lump of sugar?'],"[[4745, 4778]]",Will you give me a lump of sugar?,Randolph,['Winterbourne'],Anaphoric,he asked,[['you']],"[[[4750, 4753]]]",[[['Winterbourne']]]
Q1,"['Yes,\nyou may take one,', 'but I don t think sugar is good for\nlittle boys.']","[[5002, 5024], [5040, 5088]]","Yes,
you may take one, but I don t think sugar is good for
little boys.",Winterbourne,['Randolph'],Anaphoric,he answered,"[['you'], []]","[[[5007, 5010]], []]","[[['Randolph']], []]"
Q2,"['Oh, blazes; it s har-r-d!']","[[5410, 5435]]","Oh, blazes; it s har-r-d!",Randolph,['Winterbourne'],Anaphoric,he exclaimed,[[]],[[]],[[]]
Q3,"['Take care you don t hurt your\nteeth,']","[[5609, 5645]]","Take care you don t hurt your
teeth,",Winterbourne,['Randolph'],Anaphoric,he said,"[['you', 'your']]","[[[5619, 5622], [5634, 5638]]]","[[['Randolph'], ['Randolph']]]"
Q4,"['I haven t got any teeth to hurt. They have all come out. I have only\ngot seven teeth. My mother counted them last night, and one came out\nright afterward. She said she d slap me if any more came out. I can t\nhelp it. It s this old Europe. It s the climate that makes them come\nout. In America they didn t come out. It s these hotels.']","[[5670, 6003]]","I haven t got any teeth to hurt. They have all come out. I have only
got seven teeth. My mother counted them last night, and one came out
right afterward. She said she d slap me if any more came out. I can t
help it. It s this old Europe. It s the climate that makes them come
out. In America they didn t come out. It s these hotels.",Randolph,['Winterbourne'],Implicit,,"[['My mother', 'She', 'she']]","[[[5756, 5765], [5825, 5828], [5834, 5837]]]","[[['Mrs. Miller'], ['Mrs. Miller'], ['Mrs. Miller']]]"
Q5,"['If you eat three lumps of sugar, your\nmother will certainly slap you,']","[[6037, 6106]]","If you eat three lumps of sugar, your
mother will certainly slap you,",Winterbourne,['Randolph'],Anaphoric,he said,"[['you', 'your\nmother', 'you']]","[[[6040, 6043], [6070, 6081], [6102, 6105]]]","[[['Randolph'], ['Mrs. Miller'], ['Randolph']]]"
Q6,"['She s got to give me some candy, then,', 'I can t get any candy here--any American candy. American\ncandy s the best candy.']","[[6119, 6157], [6193, 6273]]","She s got to give me some candy, then, I can t get any candy here--any American candy. American
candy s the best candy.",Randolph,['Winterbourne'],Anaphoric,rejoined his young interlocutor,"[['She'], []]","[[[6119, 6122]], []]","[[['Mrs. Miller']], []]"
Q7,['And are American little boys the best little boys?'],"[[6277, 6327]]",And are American little boys the best little boys?,Winterbourne,['Randolph'],Explicit,asked Winterbourne,[[]],[[]],[[]]
Q8,"['I don t know. I m an American boy,']","[[6351, 6385]]","I don t know. I m an American boy,",Randolph,['Winterbourne'],Anaphoric,said the child,[[]],[[]],[[]]
Q9,['I see you are one of the best!'],"[[6405, 6435]]",I see you are one of the best!,Winterbourne,['Randolph'],Explicit,laughed Winterbourne,[['you']],"[[[6411, 6414]]]",[[['Randolph']]]
