qId,qTextArr,qSpan,qText,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts
Q0,"['A fire,', 'in the name of human\ncharity! A room and a fire!']","[[673, 680], [693, 741]]","A fire, in the name of human
charity! A room and a fire!",The Invisible Man,['Mrs. Hall'],Anaphoric,he cried,"[[], []]","[[], []]","[[], []]"
Q1,"['Can I take your hat and coat, sir?', 'and give them a good dry in the kitchen?']","[[1909, 1943], [1956, 1996]]","Can I take your hat and coat, sir? and give them a good dry in the kitchen?",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,"[['your', 'sir'], []]","[[[1920, 1924], [1939, 1942]], []]","[[['The Invisible Man'], ['The Invisible Man']], []]"
Q2,"['No,', 'I prefer to\nkeep them on,']","[[2000, 2003], [2163, 2188]]","No, I prefer to
keep them on,",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,"[[], []]","[[], []]","[[], []]"
Q3,"['Very well, sir,', '_As_ you like. In a bit the room will be\nwarmer.']","[[2371, 2386], [2399, 2447]]","Very well, sir, _As_ you like. In a bit the room will be
warmer.",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,"[['sir'], ['you']]","[[[2382, 2385]], [[2404, 2407]]]","[[['The Invisible Man']], [['The Invisible Man']]]"
Q4,"['Your lunch is served, sir.']","[[2946, 2972]]","Your lunch is served, sir.",Mrs. Hall,['The Invisible Man'],Anaphoric,She put down the eggs and bacon with considerable emphasis and called rather than said to him,"[['Your', 'sir']]","[[[2946, 2950], [2968, 2971]]]","[[['The Invisible Man'], ['The Invisible Man']]]"
Q5,"['Thank you,']","[[2976, 2986]]","Thank you,",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[['you']],"[[[2982, 2985]]]",[[['Mrs. Hall']]]
Q6,"['That girl!', 'There! I\nclean forgot it. It s her being so long!']","[[3321, 3331], [3344, 3393]]","That girl! There! I
clean forgot it. It s her being so long!",Mrs. Hall,[],Anaphoric,she said,"[[], []]","[[], []]","[[], []]"
Q7,"['I suppose I may have them\nto dry now,']","[[4287, 4324]]","I suppose I may have them
to dry now,",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,[[]],[[]],[[]]
Q8,"['Leave the hat,']","[[4372, 4386]]","Leave the hat,",The Invisible Man,['Mrs. Hall'],Anaphoric,said her visitor,[[]],[[]],[[]]
Q9,"['Leave the hat,']","[[5604, 5618]]","Leave the hat,",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[[]],[[]],[[]]
Q10,"['I didn t know, sir,', 'that']","[[5794, 5813], [5827, 5832]]","I didn t know, sir, that",Mrs. Hall,['The Invisible Man'],Anaphoric,she began,"[['sir'], []]","[[[5809, 5812]], []]","[[['The Invisible Man']], []]"
